FlyBaseID,Control_rep1.norm,Control_rep2.norm,Control_rep3.norm,U2af38_rep1.norm,U2af38_rep2.norm,U2af38_rep3.norm,SRPK_rep1.norm,SRPK_rep2.norm,SRPK_rep3.norm
FBgn0003048,2707.1484,2634.6292,2816.8712,2289.2562,2417.8369,2439.9925,3040.8723,2926.0007,3083.3665
FBgn0000810,564.0467,533.4968,565.3975,334.0729,289.3713,321.5494,746.919,719.7313,664.2823
FBgn0023523,6.8954,7.8225,3.3722,54.6081,54.7979,54.6424,33.6548,18.8302,14.9557
FBgn0023527,228.9285,176.7892,230.4304,238.7765,245.1485,239.5858,153.075,169.4716,224.3355
FBgn0040391,4588.2234,4272.6676,4841.2866,974.3794,1078.6533,1057.1199,3677.0562,4140.5473,4282.3149
FBgn0053218,3138.8027,3587.4137,3339.5548,2928.492,2948.5112,2658.5621,2931.2228,3906.2162,3312.6872
FBgn0003079,495.0923,516.2872,426.0152,568.5664,584.5109,608.4219,568.8744,577.4588,453.6562
FBgn0003159,13222.689,12245.3933,14805.9966,5340.8841,5566.3123,6004.3572,11020.3122,12480.2246,14159.3073
FBgn0040389,2.7582,10.9515,2.2481,9.6367,8.6523,12.6098,3.2569,9.4151,4.9852
FBgn0044047,373.7327,395.8202,355.2,822.3334,808.5093,669.3692,569.96,452.9704,525.9421
FBgn0040392,11.0327,15.6451,3.3722,34.2639,31.7251,36.7785,11.942,9.4151,22.4335
FBgn0023526,1996.9184,1916.5206,1929.9952,2938.1287,2911.9793,3004.2802,2077.9113,1992.8607,1895.6348
FBgn0023529,3218.7897,3263.5608,3546.3802,5004.6696,4797.2191,4922.0177,3675.9705,3883.2015,4021.8365
FBgn0023528,757.1189,815.108,710.4001,964.7427,969.0575,924.7172,753.4328,733.3309,714.1346
FBgn0027296,259.2684,258.1436,260.7798,140.2678,150.9345,175.4861,285.5228,309.6518,305.3455
FBgn0023524,0,0,0,89.9427,81.7162,132.4027,1.0856,3.1384,0
FBgn0023525,310.2946,297.2563,331.595,132.7726,145.1663,166.0288,312.6638,265.7148,254.2469
FBgn0000377,253.7521,245.6275,279.8886,360.8416,362.4352,337.3116,338.7191,318.0208,270.4489
FBgn0001330,238.5821,286.3047,270.8962,328.7192,327.826,336.2608,393.001,334.7587,362.6757
FBgn0004397,1026.0409,1239.0892,1191.4938,853.385,870.9981,789.1621,1087.8094,1090.0582,1068.0861
FBgn0023550,28.9608,18.7741,33.7215,59.9618,41.3388,66.2013,16.2846,26.153,21.1872
FBgn0029603,1796.9507,1902.4401,1960.3445,744.1689,717.1794,749.2311,1775.0183,2020.0598,1893.1421
FBgn0023542,321.3273,287.8692,275.3924,397.247,434.5377,446.5964,377.8021,335.8049,307.8381
FBgn0023541,6.8954,23.4676,19.1089,111.3576,105.7503,142.9108,24.9697,14.6457,16.202
FBgn0005670,52.4053,51.6287,41.5899,44.9714,38.4547,74.6079,10.8564,14.6457,14.9557
FBgn0004655,922.6094,996.5907,982.4204,1414.4563,1388.2133,1410.1938,1094.3232,1132.9491,1051.8841
FBgn0013432,573.7003,533.4968,547.4127,608.1841,660.4588,619.9809,578.6451,632.9033,599.4742
FBgn0004861,187.5559,140.8056,152.8709,228.069,176.8914,198.604,195.4149,231.1928,159.5274
FBgn0004860,198.5886,187.7408,206.8253,243.0595,234.5734,291.0758,262.7244,291.8678,243.0301
FBgn0040394,907.4394,885.5107,814.9368,821.2626,798.8956,832.2455,809.886,957.2008,838.7654
FBgn0040376,514.3996,425.5458,509.195,68.5278,53.8365,60.9473,235.5835,344.1738,473.5971
