gene_id	gene_symbol	biotype
FBgn0002567	Rab32	protein_coding_gene
FBgn0002569	Mal-A2	protein_coding_gene
FBgn0002570	Mal-A1	protein_coding_gene
FBgn0002571	Mal-A3	protein_coding_gene
FBgn0002573	sens	protein_coding_gene
FBgn0002576	lz	protein_coding_gene
FBgn0002577	m	protein_coding_gene
FBgn0002578	Kaz-m1	protein_coding_gene
FBgn0002579	RpL36	protein_coding_gene
FBgn0002590	RpS5a	protein_coding_gene
FBgn0002592	E(spl)m2-BFM	protein_coding_gene
FBgn0002593	RpLP1	protein_coding_gene
FBgn0002609	E(spl)m3-HLH	protein_coding_gene
FBgn0002622	RpS3	protein_coding_gene
FBgn0002626	RpL32	protein_coding_gene
FBgn0002629	E(spl)m4-BFM	protein_coding_gene
FBgn0002631	E(spl)m5-HLH	protein_coding_gene
FBgn0002632	E(spl)m6-BFM	protein_coding_gene
FBgn0002633	E(spl)m7-HLH	protein_coding_gene
FBgn0002638	Rcc1	protein_coding_gene
FBgn0002641	mal	protein_coding_gene
FBgn0002643	mam	protein_coding_gene
FBgn0002645	Map205	protein_coding_gene
FBgn0002673	twe	protein_coding_gene
FBgn0002707	mei-9	protein_coding_gene
FBgn0002709	mei-218	protein_coding_gene
FBgn0002715	mei-S332	protein_coding_gene
FBgn0002716	mei-W68	protein_coding_gene
FBgn0002719	Men	protein_coding_gene
FBgn0002723	Met	protein_coding_gene
FBgn0002732	E(spl)malpha-BFM	protein_coding_gene
FBgn0002733	E(spl)mbeta-HLH	protein_coding_gene
FBgn0002734	E(spl)mdelta-HLH	protein_coding_gene
FBgn0002735	E(spl)mgamma-HLH	protein_coding_gene
FBgn0002736	mago	protein_coding_gene
FBgn0002772	Mlc1	protein_coding_gene
FBgn0002773	Mlc2	protein_coding_gene
FBgn0002774	mle	protein_coding_gene
FBgn0002775	msl-3	protein_coding_gene
FBgn0002778	mnd	protein_coding_gene
FBgn0002780	mod	protein_coding_gene
FBgn0002781	mod(mdg4)	protein_coding_gene
FBgn0002783	mor	protein_coding_gene
FBgn0002787	Rpn8	protein_coding_gene
FBgn0002789	Mp20	protein_coding_gene
FBgn0002791	mr	protein_coding_gene
FBgn0002838	ms(3)K81	protein_coding_gene
FBgn0002842	sa	protein_coding_gene
FBgn0002855	Acp26Aa	protein_coding_gene
FBgn0002856	Acp26Ab	protein_coding_gene
FBgn0002862	Mst87F	protein_coding_gene
FBgn0002863	Acp95EF	protein_coding_gene
FBgn0002865	Mst98Ca	protein_coding_gene
FBgn0002868	MtnA	protein_coding_gene
FBgn0002869	MtnB	protein_coding_gene
FBgn0002872	mu2	protein_coding_gene
FBgn0002873	mud	protein_coding_gene
FBgn0002878	mus101	protein_coding_gene
FBgn0002887	mus201	protein_coding_gene
FBgn0002891	PolZ1	protein_coding_gene
FBgn0002899	mus301	protein_coding_gene
FBgn0002901	mus304	protein_coding_gene
FBgn0002905	PolQ	protein_coding_gene
FBgn0002906	Blm	protein_coding_gene
FBgn0002909	mus312	protein_coding_gene
FBgn0002914	Myb	protein_coding_gene
FBgn0002917	na	protein_coding_gene
FBgn0002921	Atpalpha	protein_coding_gene
FBgn0002922	nau	protein_coding_gene
FBgn0002924	ncd	protein_coding_gene
FBgn0002926	ndl	protein_coding_gene
FBgn0002930	nec	protein_coding_gene
FBgn0002931	net	protein_coding_gene
FBgn0002932	neur	protein_coding_gene
FBgn0002933	ng1	protein_coding_gene
FBgn0002936	ninaA	protein_coding_gene
FBgn0002937	ninaB	protein_coding_gene
FBgn0002938	ninaC	protein_coding_gene
FBgn0002939	ninaD	protein_coding_gene
FBgn0002940	ninaE	protein_coding_gene
FBgn0002941	slou	protein_coding_gene
FBgn0002945	nkd	protein_coding_gene
FBgn0002948	nod	protein_coding_gene
FBgn0002962	nos	protein_coding_gene
FBgn0002973	numb	protein_coding_gene
FBgn0002985	odd	protein_coding_gene
FBgn0002989	okr	protein_coding_gene
FBgn0003002	opa	protein_coding_gene
FBgn0003008	or	protein_coding_gene
FBgn0003009	ord	protein_coding_gene
FBgn0003011	ort	protein_coding_gene
FBgn0003015	osk	protein_coding_gene
FBgn0003016	osp	protein_coding_gene
FBgn0003023	otu	protein_coding_gene
FBgn0003028	ovo	protein_coding_gene
FBgn0003034	SP	protein_coding_gene
FBgn0003041	pbl	protein_coding_gene
FBgn0003042	Pc	protein_coding_gene
FBgn0003044	Pcl	protein_coding_gene
FBgn0003046	Pcp	protein_coding_gene
FBgn0003048	pcx	protein_coding_gene
FBgn0003053	peb	protein_coding_gene
FBgn0003057	CG10598	protein_coding_gene
FBgn0003060	CG9757	protein_coding_gene
FBgn0003062	Fib	protein_coding_gene
FBgn0003065	CG2150	protein_coding_gene
FBgn0003067	Pepck1	protein_coding_gene
FBgn0003068	per	protein_coding_gene
FBgn0003071	Pfk	protein_coding_gene
FBgn0003074	Pgi	protein_coding_gene
FBgn0003076	Pgm1	protein_coding_gene
FBgn0003079	Raf	protein_coding_gene
FBgn0003082	phr	protein_coding_gene
FBgn0003086	Pig1	protein_coding_gene
FBgn0003087	pim	protein_coding_gene
FBgn0003089	pip	protein_coding_gene
FBgn0003090	pk	protein_coding_gene
FBgn0003091	Pkc53E	protein_coding_gene
FBgn0003093	Pkc98E	protein_coding_gene
FBgn0003114	plu	protein_coding_gene
FBgn0003116	pn	protein_coding_gene
FBgn0003117	pnr	protein_coding_gene
FBgn0003118	pnt	protein_coding_gene
FBgn0003124	polo	protein_coding_gene
FBgn0003129	Poxm	protein_coding_gene
FBgn0003130	Poxn	protein_coding_gene
FBgn0003132	Pp1-13C	protein_coding_gene
FBgn0003134	Pp1alpha-96A	protein_coding_gene
FBgn0003137	Ppn	protein_coding_gene
FBgn0003139	PpV	protein_coding_gene
FBgn0003140	PpY-55A	protein_coding_gene
FBgn0003141	pr	protein_coding_gene
FBgn0003145	prd	protein_coding_gene
FBgn0003149	Prm	protein_coding_gene
FBgn0003159	CG2841	protein_coding_gene
FBgn0003162	Pu	protein_coding_gene
FBgn0003165	pum	protein_coding_gene
FBgn0003169	put	protein_coding_gene
FBgn0003174	pwn	protein_coding_gene
FBgn0003175	px	protein_coding_gene
FBgn0003187	qua	protein_coding_gene
FBgn0003189	r	protein_coding_gene
FBgn0003204	ras	protein_coding_gene
FBgn0003205	Ras85D	protein_coding_gene
FBgn0003206	Ras64B	protein_coding_gene
FBgn0003209	raw	protein_coding_gene
FBgn0003210	rb	protein_coding_gene
FBgn0003218	rdgB	protein_coding_gene
FBgn0003227	rec	protein_coding_gene
FBgn0003231	ref(2)P	protein_coding_gene
FBgn0003248	Rh2	protein_coding_gene
FBgn0003249	Rh3	protein_coding_gene
FBgn0003250	Rh4	protein_coding_gene
FBgn0003254	rib	protein_coding_gene
FBgn0003255	rk	protein_coding_gene
FBgn0003256	rl	protein_coding_gene
FBgn0003257	r-l	protein_coding_gene
FBgn0003261	Rm62	protein_coding_gene
FBgn0003267	ro	protein_coding_gene
FBgn0003268	rod	protein_coding_gene
FBgn0003270	amos	protein_coding_gene
FBgn0003274	RpLP2	protein_coding_gene
FBgn0003275	Polr2F	protein_coding_gene
FBgn0003277	Polr2A	protein_coding_gene
FBgn0003278	Polr1B	protein_coding_gene
FBgn0003279	RpL4	protein_coding_gene
FBgn0003285	rst	protein_coding_gene
FBgn0003292	rt	protein_coding_gene
FBgn0003295	ru	protein_coding_gene
FBgn0003300	run	protein_coding_gene
FBgn0003301	rut	protein_coding_gene
FBgn0003302	rux	protein_coding_gene
FBgn0003308	ry	protein_coding_gene
FBgn0003310	S	protein_coding_gene
FBgn0003312	sad	protein_coding_gene
FBgn0003313	sala	protein_coding_gene
FBgn0003317	sax	protein_coding_gene
FBgn0003319	Sb	protein_coding_gene
FBgn0003321	sbr	protein_coding_gene
FBgn0003326	sca	protein_coding_gene
FBgn0003330	Sce	protein_coding_gene
FBgn0003334	Scm	protein_coding_gene
FBgn0003339	Scr	protein_coding_gene
FBgn0003345	sd	protein_coding_gene
FBgn0003346	RanGAP	protein_coding_gene
FBgn0003353	sei	protein_coding_gene
FBgn0003356	Jon99Cii	protein_coding_gene
FBgn0003357	Jon99Ciii	protein_coding_gene
FBgn0003358	Jon99Ci	protein_coding_gene
FBgn0003360	sesB	protein_coding_gene
FBgn0003366	sev	protein_coding_gene
FBgn0003371	sgg	protein_coding_gene
FBgn0003372	Sgs1	protein_coding_gene
FBgn0003373	Sgs3	protein_coding_gene
FBgn0003374	Sgs4	protein_coding_gene
FBgn0003375	Sgs5	protein_coding_gene
FBgn0003377	Sgs7	protein_coding_gene
FBgn0003378	Sgs8	protein_coding_gene
FBgn0003380	Sh	protein_coding_gene
FBgn0003382	sha	protein_coding_gene
FBgn0003386	Shaw	protein_coding_gene
FBgn0003388	shd	protein_coding_gene
FBgn0003390	shf	protein_coding_gene
FBgn0003391	shg	protein_coding_gene
FBgn0003392	shi	protein_coding_gene
FBgn0003396	shn	protein_coding_gene
FBgn0003401	shu	protein_coding_gene
FBgn0003410	sina	protein_coding_gene
FBgn0003411	sisA	protein_coding_gene
FBgn0003415	skd	protein_coding_gene
FBgn0003416	sl	protein_coding_gene
FBgn0003423	slgA	protein_coding_gene
FBgn0003429	slo	protein_coding_gene
FBgn0003430	slp1	protein_coding_gene
FBgn0003435	sm	protein_coding_gene
FBgn0003444	smo	protein_coding_gene
FBgn0003447	sn	protein_coding_gene
FBgn0003448	sna	protein_coding_gene
FBgn0003449	snf	protein_coding_gene
FBgn0003450	snk	protein_coding_gene
FBgn0003459	stwl	protein_coding_gene
FBgn0003460	so	protein_coding_gene
FBgn0003462	Sod1	protein_coding_gene
FBgn0003463	sog	protein_coding_gene
FBgn0003464	sol	protein_coding_gene
FBgn0003475	spir	protein_coding_gene
FBgn0003479	spn-A	protein_coding_gene
FBgn0003480	spn-B	protein_coding_gene
FBgn0003482	spn-D	protein_coding_gene
FBgn0003483	spn-E	protein_coding_gene
FBgn0003486	spo	protein_coding_gene
FBgn0003495	spz	protein_coding_gene
FBgn0003499	sr	protein_coding_gene
FBgn0003502	Btk	protein_coding_gene
FBgn0003507	srp	protein_coding_gene
FBgn0003510	Sry-alpha	protein_coding_gene
FBgn0003511	Sry-beta	protein_coding_gene
FBgn0003512	Sry-delta	protein_coding_gene
FBgn0003513	ss	protein_coding_gene
FBgn0003514	sqh	protein_coding_gene
FBgn0003515	st	protein_coding_gene
FBgn0003517	sta	protein_coding_gene
FBgn0003520	stau	protein_coding_gene
FBgn0003525	stg	protein_coding_gene
FBgn0003527	stil	protein_coding_gene
FBgn0003545	sub	protein_coding_gene
FBgn0003557	Su(dx)	protein_coding_gene
FBgn0003559	su(f)	protein_coding_gene
FBgn0003567	su(Hw)	protein_coding_gene
FBgn0003575	su(sable)	protein_coding_gene
FBgn0003598	Su(var)3-7	protein_coding_gene
FBgn0003607	Su(var)205	protein_coding_gene
FBgn0003612	Su(var)2-10	protein_coding_gene
FBgn0003638	su(w[a])	protein_coding_gene
